2026-02-23 13:58:17.693 | INFO     | awslabs.aws_support_mcp_server.server:main:782 | 492412:437464 | {'diagnostics': True} - Debug mode: True
2026-02-23 13:58:17.693 | DEBUG    | awslabs.aws_support_mcp_server.server:main:786 | 492412:437464 | {'diagnostics': True} - Enabling detailed performance tracking and error monitoring
2026-02-23 14:12:41.384 | INFO     | awslabs.aws_support_mcp_server.server:main:780 | 436560:503532 | {'diagnostics': True} - AWS Support MCP Server starting up. Log file: c:\Users\William\Documents\Projects\Meritus\Meritus\logs\mcp_support_server.log
2026-02-23 14:12:41.385 | INFO     | awslabs.aws_support_mcp_server.server:main:782 | 436560:503532 | {'diagnostics': True} - Debug mode: True
2026-02-23 14:12:41.385 | DEBUG    | awslabs.aws_support_mcp_server.server:main:786 | 436560:503532 | {'diagnostics': True} - Enabling detailed performance tracking and error monitoring
2026-02-23 14:13:43.600 | INFO     | awslabs.aws_support_mcp_server.server:main:780 | 329188:117380 | {'diagnostics': True} - AWS Support MCP Server starting up. Log file: c:\Users\William\Documents\Projects\Meritus\Meritus\logs\mcp_support_server.log
2026-02-23 14:13:43.600 | INFO     | awslabs.aws_support_mcp_server.server:main:782 | 329188:117380 | {'diagnostics': True} - Debug mode: True
2026-02-23 14:13:43.600 | DEBUG    | awslabs.aws_support_mcp_server.server:main:786 | 329188:117380 | {'diagnostics': True} - Enabling detailed performance tracking and error monitoring
2026-02-23 14:15:01.819 | INFO     | awslabs.aws_support_mcp_server.server:main:780 | 462040:256400 | {'diagnostics': True} - AWS Support MCP Server starting up. Log file: c:\Users\William\Documents\Projects\Meritus\Meritus\logs\mcp_support_server.log
2026-02-23 14:15:01.819 | INFO     | awslabs.aws_support_mcp_server.server:main:782 | 462040:256400 | {'diagnostics': True} - Debug mode: True
2026-02-23 14:15:01.819 | DEBUG    | awslabs.aws_support_mcp_server.server:main:786 | 462040:256400 | {'diagnostics': True} - Enabling detailed performance tracking and error monitoring
2026-02-23 14:19:43.175 | INFO     | awslabs.aws_support_mcp_server.server:main:780 | 492116:163896 | {'diagnostics': True} - AWS Support MCP Server starting up. Log file: c:\Users\William\Documents\Projects\Meritus\Meritus\logs\mcp_support_server.log
2026-02-23 14:19:43.175 | INFO     | awslabs.aws_support_mcp_server.server:main:782 | 492116:163896 | {'diagnostics': True} - Debug mode: True
2026-02-23 14:19:43.175 | DEBUG    | awslabs.aws_support_mcp_server.server:main:786 | 492116:163896 | {'diagnostics': True} - Enabling detailed performance tracking and error monitoring
